subzone,cases,normalize by sum,normalize by max,lat,lon,area,population
Henderson Hill,0,0,0,103.7427347,1.332834649,0.557308647,12870
Hillcrest,0,0,0,103.8097286,1.276477075,1.461843201,8810
Hillview,0,0,0,103.855832,1.434178567,2.157568609,18220
Holland Drive,0,0,0,103.8020617,1.441315534,2.56594592,14230
Holland Road,0,0,0,103.7209418,1.334253193,1.49148377,10280
Hong Kah,0,0,0,103.7483292,1.326765692,0.487372316,56870
Hong Kah North,0,0,0,103.82846,1.333768948,3.158177581,28340
Hougang Central,17,0.024425287,0.161904762,103.8877,1.343051528,1.804767841,4830
Hougang East,0,0,0,103.8202075,1.277519861,0.27816173,21940
Hougang West,17,0.024425287,0.161904762,103.9012556,1.408808939,1.270544996,50120
Institution Hill,0,0,0,103.6613003,1.300496861,2.809490369,3380
International Business Park,0,0,0,103.9055982,1.388126743,1.576660601,10
Istana Negara,0,0,0,103.7576842,1.36930037,2.471041794,40
Jelebu,0,0,0,103.777557,1.286024788,1.09002761,33470
Joo Koon,0,0,0,103.784856,1.44662069,1.28756219,40
Joo Seng,0,0,0,103.8373669,1.293629478,0.39445921,6720
Jurong Gateway,0,0,0,103.8343913,1.298021965,0.370263422,20
Jurong Island and Bukom,0,0,0,103.8812752,1.38083206,1.752868799,0
Jurong Port,0,0,0,103.8307513,1.354995413,3.879063347,10
Jurong River,0,0,0,103.856696,1.305659595,0.116892764,10
Jurong West Central,2,0.002873563,0.019047619,103.7872984,1.311734894,0.487393182,68200
Kaki Bukit,10,0.014367816,0.095238095,103.8472136,1.373062941,0.31842353,40820
Kallang Bahru,2,0.002873563,0.019047619,103.8390293,1.301491105,0.331029505,30
Kallang Way,0,0,0,103.7076367,1.355761594,1.984519091,40
Kampong Bugis,16,0.022988506,0.152380952,103.7467416,1.391690948,1.093934278,890
Kampong Glam,16,0.022988506,0.152380952,103.8980704,1.370960533,1.012310281,170
Kampong Java,0,0,0,103.8887111,1.393893125,1.506408688,11260
Kampong Tiong Bahru,0,0,0,103.9078591,1.335667118,2.833831708,10460
Kampong Ubi,0,0,0,103.8437544,1.274129081,0.103736566,13210
Kangkar,0,0,0,103.9665092,1.359241801,0.949581318,26080
Katong,15,0.021551724,0.142857143,103.7966418,1.451365366,0.910354346,9620
Keat Hong,0,0,0,103.8280546,1.278493679,0.367093782,15660
Kebun Bahru,14,0.020114943,0.133333333,103.7567944,1.348633596,0.382045613,23910
Kembangan,3,0.004310345,0.028571429,103.7758512,1.439100163,1.656685317,38440
Kent Ridge,0,0,0,103.7792454,1.303583219,1.393341601,1080
Khatib,47,0.067528736,0.447619048,103.9596711,1.367891912,1.647627322,10850
Kian Teck,0,0,0,103.8254003,1.403161577,2.219977386,50
Kim Keat,0,0,0,103.8256189,1.304976453,0.168347205,8610
Kovan,0,0,0,103.8302872,1.289366319,0.554395853,25640
Kranji,0,0,0,103.9228751,1.408748017,1.206655086,20
Lakeside,0,0,0,103.9356975,1.329765921,3.219167983,1010
Lavender,0,0,0,103.9525374,1.380974392,1.728061809,10320
Leedon Park,0,0,0,103.7478413,1.400860926,0.927707974,6260
Leonie Hill,0,0,0,103.7421188,1.347880021,0.52893532,2450
Lim Chu Kang,0,0,0,103.9819228,1.390508704,1.00078508,90
Little India,0,0,0,103.8266043,1.284069059,0.352480501,3850
Liu Fang,0,0,0,103.8848186,1.358265857,1.522890912,10
Lorong 8 Toa Payoh,0,0,0,103.8498473,1.340263351,0.448403405,8220
Lorong Ah Soo,0,0,0,103.7021938,1.341001172,1.411337961,34180
Lorong Chuan,2,0.002873563,0.019047619,103.8443916,1.279701776,0.590054245,8390
Lorong Halus,0,0,0,103.8029819,1.326009989,1.431983341,0
Lorong Halus North,0,0,0,103.8225928,1.286527565,0.598302958,0
Lower Seletar,0,0,0,103.7710178,1.384498029,0.67170604,2870
Loyang East,0,0,0,103.7786865,1.428420454,1.673600531,2190
Loyang West,0,0,0,103.6833916,1.335460509,1.53192358,200
Mackenzie,0,0,0,103.7326745,1.347333341,0.779902584,110
Macpherson,0,0,0,103.6947034,1.344953692,2.21698768,28630
Malcolm,0,0,0,103.7921361,1.340232591,3.483838813,2630
Mandai East,0,0,0,103.9462666,1.372384858,1.518824347,0
Mandai Estate,0,0,0,103.9458053,1.322111119,3.01179668,2120
Mandai West,0,0,0,103.8125062,1.303766696,1.961297192,0
