,0,1
0,Sembawang North,12
1,Tai Seng,2
2,Aljunied,56
3,Hougang West,6
4,Woodlands East,3
5,Upper Thomson,2
6,Serangoon Garden,5
7,Sembawang Hills,2
8,Kampong Ubi,10
9,Toa Payoh Central,2
10,Loyang East,3
11,Everton Park,2
12,Tampines East,8
13,Hougang East,2
14,Frankel,26
15,Bayshore,2
16,Tampines West,14
17,Pasir Ris West,3
18,Sembawang Central,21
19,Kim Keat,2
20,Katong,17
21,Macpherson,5
22,Geylang East,7
23,Bendemeer,2
24,Balestier,2
25,Lorong Chuan,4
26,Yuhua East,2
27,Mountbatten,8
28,Rivervale,2
29,Yew Tee,5
30,North Coast,2
31,Yishun East,2
32,Geylang Bahru,4
33,Kembangan,2
34,Senoko South,6
35,Lavender,2
36,Northland,2
37,Clementi North,2
38,Gali Batu,2
39,Kaki Bukit,9
