Source,Target,Weight
Kangkar,Shangri-La,9
Bukit Batok West,Singapore General Hospital,20
Geylang Bahru,Punggol Field,10
Compassvale,Mandai East,7
Lorong Ah Soo,Siglap,12
City Terminals,Balestier,18
Telok Blangah Drive,Tuas View Extension,6
Rivervale,Central Subzone,18
Central Subzone,Ang Mo Kio Town Centre,5
Sengkang Town Centre,Toh Guan,11
Tanjong Rhu,Serangoon Garden,48
Marine Parade,Braddell,17
Bayshore,Bukit Ho Swee,11
Jurong West Central,Pasir Ris West,15
Little India,Bangkit,18
Ulu Pandan,Pasir Panjang 1,6
Chinatown,Seletar Hills,6
Woodlands Regional Centre,Compassvale,12
Kranji,Northland,14
Mount Pleasant,Senoko West,2
Cairnhill,Jelebu,12
Northland,Jurong Island and Bukom,9
Tampines West,Choa Chu Kang North,20
Bukit Merah,Alexandra North,1
West Coast,Pandan,23
Dover,Hong Kah North,15
City Terminals,Anson,14
Yishun South,Bukit Ho Swee,12
Kampong Bugis,China Square,13
Geylang Bahru,Wenya,5
Tiong Bahru Station,Sembawang North,3
Senoko South,Kampong Ubi,32
Plab,Bangkit,2
Port,Pasir Panjang 2,15
Dairy Farm,Clementi West,7
Defu Industrial Park,Lorong 8 Toa Payoh,7
Kampong Glam,Seletar Aerospace Park,1
Kembangan,Lim Chu Kang,8
Kebun Bahru,Singapore General Hospital,13
Changi West,Bedok South,29
Punggol Town Centre,Hougang East,15
Teban Gardens,Midview,6
Clementi West,Central Subzone,4
Jurong West Central,Tampines North,8
Mount Pleasant,Ulu Pandan,3
Kangkar,Telok Blangah Drive,4
Oxley,Compassvale,2
Seletar,Yew Tee,2
Pasir Ris Drive,Kampong Glam,9
Hong Kah,Marina South,7
Seletar,Kovan,3
Woodlands South,Serangoon Central,25
Reservoir View,Victoria,6
Anak Bukit,Leonie Hill,10
Bukit Batok East,Paya Lebar North,3
Clementi North,Lower Seletar,4
Toa Payoh Central,Anson,10
Compassvale,Benoi Sector,3
Kampong Java,Penjuru Crescent,1
Dover,Frankel,3
Wenya,Fort Canning,3
Northshore,Yio Chu Kang North,2
Lorong Halus North,Bishan East,2
Lavender,Paterson,2
Senja,Bedok South,8
Tuas Bay,Changi Point,2
Sennett,Rochor Canal,6
Lorong Halus,Seletar Aerospace Park,1
Lorong Chuan,Dhoby Ghaut,12
Raffles Place,Clementi Woods,4
Liu Fang,Lower Seletar,3
Tai Seng,Pei Chun,16
Tampines West,Kebun Bahru,15
Lim Chu Kang,City Terminals,3
Farrer Park,Bras Basah,14
Wenya,Nassim,12
Margaret Drive,Macpherson,10
Coronation Road,Serangoon Central,8
Woodlands East,Telok Blangah Way,4
Yuhua West,Bishan East,14
Bayshore,Hillview,8
Katong,Nature Reserve,9
Kampong Ubi,Sembawang East,2
Central Subzone,Bishan East,21
Phillip,Bendemeer,7
Midview,Potong Pasir,7
Bangkit,Benoi Sector,5
Bayshore,Fajar,7
Mandai West,Kallang Bahru,1
Senja,Holland Road,21
Punggol Field,Bukit Batok Central,7
Sembawang Springs,Tyersall,6
