Source,Target,Weight
Goodwood Park,Institution Hill,7
Lorong Ah Soo,Taman Jurong,10
Hong Kah North,Depot Road,8
Gali Batu,Tanjong Pagar,8
Senoko North,Sentosa,4
Kent Ridge,Tuas View,3
Changi Point,Kebun Bahru,5
Pasir Ris West,Bukit Batok South,4
West Coast,Telok Blangah Drive,11
Goodwood Park,National University of S'pore,5
Teck Whye,Yio Chu Kang North,2
Everton Park,Kim Keat,3
Sentosa,Sembawang East,6
Fort Canning,Monk's Hill,3
Wenya,Admiralty,1
Sengkang West,Upper Thomson,7
Sembawang Hills,Hougang West,8
Yishun South,North-Eastern Islands,3
Oxley,Ulu Pandan,9
Lavender,Kian Teck,23
Chatsworth,Lorong 8 Toa Payoh,12
Changi Point,Kranji,3
Serangoon North Ind Estate,Kampong Bugis,3
Gali Batu,Senoko South,16
Midview,Holland Drive,6
Seletar Hills,Nee Soon,10
Victoria,Tanjong Pagar,7
Alexandra Hill,Gul Circle,9
Sennett,Paterson,1
Tagore,Serangoon North,3
Rochor Canal,Pasir Panjang 1,6
Kian Teck,Ghim Moh,9
Central Subzone,Braddell,13
Selegie,Tanglin,1
Tengah,Peng Siang,4
Braddell,Springleaf,3
Woodgrove,Geylang Bahru,17
West Coast,Hillview,9
Nature Reserve,Flora Drive,1
Yio Chu Kang West,Senoko West,8
West Coast,Fajar,3
Bukit Batok West,Singapore Polytechnic,3
Marina East,China Square,1
Hillview,Upper Paya Lebar,10
Serangoon North Ind Estate,Midview,7
Mandai East,Pei Chun,7
Tengeh,Moulmein,4
Kampong Glam,West Coast,2
Bukit Batok West,Toa Payoh West,5
Sennett,Pasir Ris Central,4
Gombak,Tuas Promenade,5
Woodlands Regional Centre,Ulu Pandan,6
Kian Teck,East Coast,5
Boat Quay,Tengeh,1
Kim Keat,Benoi Sector,1
Chin Bee,Anson,1
Clementi Woods,Fajar,8
Wenya,Mei Chin,3
Woodleigh,Jurong Gateway,1
Jurong Port,Benoi Sector,6
Lorong Halus,Tiong Bahru,7
Bedok Reservoir,Yuhua East,3
Kampong Java,Paya Lebar East,4
Orange Grove,Bukit Merah,5
Hougang West,Mandai East,6
Safti,Tuas North,5
Ang Mo Kio Town Centre,Kovan,18
Toh Tuck,Yio Chu Kang East,2
Seletar Hills,Boon Keng,4
Saujana,Serangoon North Ind Estate,2
Gali Batu,Woodlands West,13
Bugis,Sembawang Straits,2
Yio Chu Kang West,Ulu Pandan,2
Tuas Bay,Ulu Pandan,1
Gul Circle,Woodlands Regional Centre,7
Liu Fang,Geylang Bahru,4
Woodlands Regional Centre,Matilda,33
Jurong Gateway,Reservoir View,8
Bukit Ho Swee,Loyang West,2
Coronation Road,Joo Seng,8
Boat Quay,Sunset Way,3
Singapore Polytechnic,Lorong Halus North,1
Bencoolen,Singapore Polytechnic,4
Mei Chin,Lorong Halus,1
Chin Bee,Yishun Central,2
Changi West,Greenwood Park,1
Serangoon North Ind Estate,Seletar Aerospace Park,5
Jurong River,Goodwood Park,1
Choa Chu Kang North,Tampines North,4
Boat Quay,Marina East,2
Bishan East,Clementi Woods,6
Geylang Bahru,Seletar,4
Changi West,Toa Payoh Central,4
Senoko West,Serangoon Garden,4
Fort Canning,Queensway,4
Defu Industrial Park,City Terminals,3
Moulmein,Defu Industrial Park,4
Kembangan,Sembawang Springs,4
Punggol Town Centre,Hillview,3
Little India,Phillip,10
Queensway,Malcolm,2
Braddell,Telok Blangah Way,4
Kampong Bugis,Lorong 8 Toa Payoh,6
Sungei Road,Bugis,2
Goodwood Park,Lower Seletar,1
Phillip,Anchorvale,6
Northshore,Chinatown,2
Changi Point,Kampong Java,12
Loyang West,Seletar Hills,2
Hougang Central,Mount Pleasant,6
North-Eastern Islands,Serangoon Central,4
Jurong West Central,Pei Chun,3
Nature Reserve,North-Eastern Islands,2
China Square,National University of S'pore,5
Mount Pleasant,Rochor Canal,8
Flora Drive,Gombak,1
Mackenzie,Depot Road,3
Straits View,Guilin,2
Sembawang Straits,Aljunied,6
Leedon Park,Ang Mo Kio Town Centre,3
Xilin,Tanglin,2
Jurong Port,Simei,3
Maxwell,Bukit Batok South,1
Ridout,Peng Siang,2
Tuas Bay,Matilda,3
Kampong Ubi,Greenwood Park,4
Anak Bukit,Oxley,4
Yuhua East,China Square,4
Paya Lebar East,Cheng San,1
East Coast,Western Water Catchment,1
Malcolm,Crawford,2
One Tree Hill,Compassvale,3
Istana Negara,Bayfront Subzone,3
Clementi North,Geylang Bahru,8
Woodlands West,Marina South,4
Sembawang Springs,Teck Whye,3
Sembawang Springs,Peng Siang,6
Hillcrest,Kampong Bugis,3
Yio Chu Kang West,Reservoir View,3
Hougang West,Benoi Sector,2
Boulevard,Anson,7
Bangkit,Ghim Moh,3
Faber,Woodlands Regional Centre,6
The Wharves,Pei Chun,1
Ghim Moh,Toa Payoh West,1
Ghim Moh,Seletar,1
Pioneer Sector,Springleaf,1
Keat Hong,Bedok Reservoir,3
Alexandra Hill,Paya Lebar West,1
Geylang Bahru,Yio Chu Kang,5
Phillip,Ridout,2
Yishun Central,Tuas North,2
Cairnhill,Orange Grove,2
International Business Park,Khatib,5
Pasir Ris West,Lim Chu Kang,5
Sembawang Hills,Lakeside,1
Tengeh,Dover,2
Tuas View Extension,Somerset,1
Central Water Catchment,Commonwealth,3
Turf Club,Hougang Central,1
Commonwealth,Central Subzone,2
Hillcrest,Sembawang Straits,1
Oxley,Reservoir View,1
Tanglin Halt,Admiralty,1
Peng Siang,Marina East,1
Tuas Bay,Reservoir View,1
Airport Road,Senoko West,1
Nee Soon,Changi Bay,3
Punggol Town Centre,Clementi West,1
Bukit Batok West,North-Eastern Islands,1
Lorong 8 Toa Payoh,Marina East (MP),1
Bugis,Seletar Aerospace Park,4
Townsville,Greenwood Park,1
Chatsworth,Tukang,1
Tuas North,Lorong Ah Soo,2
Safti,Redhill,1
Phillip,Changi West,1
West Coast,Shangri-La,1
Kampong Bugis,Tukang,1
Changi Point,Chatsworth,2
Sembawang Hills,Xilin,2
Pasir Ris Wafer Fab Park,Paya Lebar East,1
Pasir Panjang 2,Turf Club,1
Springleaf,Holland Road,2
Sengkang West,Mandai Estate,1
Changi Bay,Changi West,1
Tuas North,One Tree Hill,1
Bedok Reservoir,People's Park,1
Robertson Quay,Kent Ridge,1
Yio Chu Kang East,Holland Drive,1
Defu Industrial Park,Siglap,1
Gul Basin,Kallang Bahru,1
Kembangan,Bukit Batok East,1
Mount Emily,China Square,1
Yuhua East,Selegie,1
Pasir Ris Central,Samulun,1
Macpherson,Toa Payoh Central,87
Tuas Promenade,Woodlands West,7
Yuhua West,Jurong River,64
Woodlands Regional Centre,Yishun West,311
Tanjong Pagar,Boulevard,84
Pearl's Hill,Tengeh,7
China Square,City Terminals,7
Leedon Park,Bencoolen,12
Frankel,Bras Basah,32
Jurong Gateway,Yishun West,124
Tampines West,Rivervale,95
Telok Blangah Drive,City Terminals,56
Plab,Serangoon Central,4
Taman Jurong,Tanjong Rhu,30
Jelebu,Everton Park,11
Fort Canning,Yio Chu Kang West,21
Katong,Phillip,6
North Coast,Waterway East,35
Yio Chu Kang East,Tanglin,6
Kovan,Cheng San,33
Chin Bee,Kian Teck,70
Waterway East,Kampong Ubi,53
Clementi North,Taman Jurong,52
Dunearn,North Coast,14
Woodlands East,Clarke Quay,56
Senoko South,Senoko North,165
Tampines North,Paya Lebar North,30
Liu Fang,Taman Jurong,33
Chatsworth,Joo Seng,12
Yishun West,Jurong Gateway,96
Somerset,Tanjong Pagar,28
Matilda,Bukit Merah,9
Dover,Siglap,3
Alexandra Hill,Leonie Hill,18
Sentosa,Tiong Bahru Station,31
Teck Whye,Bukit Ho Swee,17
Fernvale,Punggol Town Centre,68
Hillcrest,Woodgrove,23
Mountbatten,Boon Keng,21
Depot Road,Boulevard,9
Choa Chu Kang Central,Swiss Club,16
Frankel,Boon Keng,25
City Hall,Robertson Quay,24
Aljunied,Crawford,270
Greenwood Park,Northland,17
Teck Whye,Clementi West,14
Hougang Central,Tanjong Rhu,30
Mountbatten,Bras Basah,31
Balestier,Leedon Park,26
Hillcrest,Boulevard,74
Anchorvale,Sengkang West,9
Serangoon North,Punggol Town Centre,6
Sengkang Town Centre,Lower Seletar,40
Tuas Promenade,Queensway,2
Nee Soon,Fort Canning,8
Jurong Gateway,Turf Club,21
North Coast,Sentosa,76
Senoko North,Woodgrove,26
Kangkar,Khatib,11
Hougang West,Ang Mo Kio Town Centre,63
Sembawang Central,Sembawang North,54
Pearl's Hill,Little India,26
Maritime Square,Tanglin,8
Yio Chu Kang West,Yishun West,69
One North,Bayfront Subzone,16
Bugis,Boulevard,152
Jurong West Central,Boon Teck,22
Hong Kah,Toh Guan,130
Tagore,Tampines East,31
Trafalgar,Tuas View,4
Hougang East,City Hall,31
Shangri-La,Bishan East,54
Lorong Halus,Kallang Bahru,18
Crawford,Tyersall,12
Orange Grove,Kampong Java,12
Sennett,Sentosa,6
Fort Canning,Marine Parade,40
Farrer Park,Raffles Place,23
Kent Ridge,Keat Hong,5
Ang Mo Kio Town Centre,Rivervale,53
Little India,Serangoon Central,53
Hougang West,Pei Chun,10
Tampines North,Aljunied,51
Tampines North,Raffles Place,8
Tengeh,Jelebu,8
Queensway,Kian Teck,2
Yishun West,Yio Chu Kang North,21
Balestier,Townsville,86
National University of S'pore,Ghim Moh,34
Choa Chu Kang Central,Kampong Ubi,23
Jurong Island and Bukom,Woodlands Regional Centre,14
Springleaf,Admiralty,8
Kaki Bukit,Yishun East,39
Choa Chu Kang Central,Brickworks,5
Marina South,Jurong West Central,29
Maritime Square,Kallang Way,17
Senoko South,Hillcrest,8
Bukit Merah,Hillview,9
Marina South,Townsville,4
Boon Teck,Joo Seng,24
Jurong West Central,Kent Ridge,12
Bras Basah,Jelebu,17
Senja,Nature Reserve,27
Lavender,Plab,3
Serangoon Central,Woodlands Regional Centre,30
Waterway East,Swiss Club,6
Joo Seng,Kampong Bugis,19
Upper Paya Lebar,Boon Teck,7
Jurong West Central,Bencoolen,19
Redhill,Redhill,7
Alexandra Hill,Telok Blangah Rise,25
Pearl's Hill,Sunset Way,4
Choa Chu Kang Central,Yunnan,43
Kampong Bugis,Kallang Way,6
Mount Emily,Bukit Batok Central,1
Toa Payoh West,Lorong 8 Toa Payoh,17
Khatib,Bayshore,4
Sunset Way,Nassim,18
Toa Payoh Central,Hougang West,61
Orange Grove,Choa Chu Kang North,11
Somerset,Senoko South,30
Dhoby Ghaut,Tiong Bahru,15
Gali Batu,Sunset Way,3
National University of S'pore,Bayshore,36
Senoko South,Tuas Promenade,7
Bedok Reservoir,Goodwood Park,5
Telok Blangah Drive,Lorong Halus,3
Kampong Tiong Bahru,Tanjong Rhu,5
Woodgrove,Taman Jurong,22
Hougang West,Woodlands East,39
Little India,Bukit Batok Central,18
Punggol Town Centre,Mountbatten,5
Somerset,Woodlands West,25
Joo Koon,Ghim Moh,1
Hougang East,Clementi Central,4
Tagore,North-Eastern Islands,1
Cecil,Penjuru Crescent,2
Marine Parade,Changi Airport,133
Alexandra Hill,Sengkang Town Centre,24
Geylang East,Clementi North,35
Bendemeer,Everton Park,19
Joo Koon,Safti,38
Tanjong Pagar,Woodgrove,9
Jurong River,Fernvale,6
Fajar,Anak Bukit,47
Sembawang Hills,Tai Seng,5
Seletar Hills,Coronation Road,2
Leedon Park,Boon Teck,5
Sengkang West,Sennett,3
Tanglin Halt,Seletar Hills,1
Orange Grove,Chatsworth,16
Orange Grove,Dunearn,17
Bukit Merah,Bukit Ho Swee,29
Marina South,Port,2
Potong Pasir,Woodlands East,30
Mackenzie,Oxley,2
Jurong River,Frankel,6
Yishun Central,Jurong West Central,11
Mandai Estate,Tagore,4
Farrer Park,Bedok North,70
Clarke Quay,Peng Siang,8
Gali Batu,Little India,11
Waterway East,Yunnan,6
Boon Teck,Tengah,1
Bedok North,Lorong 8 Toa Payoh,30
Hillcrest,Kampong Tiong Bahru,2
Yio Chu Kang,Sembawang North,15
Keat Hong,Springleaf,3
Dhoby Ghaut,West Coast,2
Yio Chu Kang North,Saujana,10
Mountbatten,Punggol Town Centre,3
Simei,Bukit Batok West,11
Bugis,Woodgrove,23
Midview,Tanglin,2
Dunearn,Benoi Sector,1
Changi Bay,Katong,1
Choa Chu Kang North,Serangoon Garden,14
China Square,Siglap,4
Telok Blangah Way,Swiss Club,1
Hillview,Hong Kah,28
China Square,Bedok Reservoir,8
Faber,Wenya,4
Tuas Bay,Yishun West,5
Gombak,Woodlands Regional Centre,14
Serangoon North,Nee Soon,8
Kallang Way,Maritime Square,19
Seletar Hills,Lorong Chuan,5
Leedon Park,Choa Chu Kang Central,7
Benoi Sector,Bukit Batok West,8
Serangoon Garden,Ghim Moh,11
Victoria,Sunset Way,4
Pasir Panjang 1,West Coast,6
Chin Bee,Pioneer Sector,9
Tanjong Pagar,Kampong Tiong Bahru,3
Marymount,Bugis,41
Yio Chu Kang East,Kallang Way,10
Teck Whye,Fajar,53
Singapore General Hospital,Bukit Merah,17
Moulmein,Faber,3
Pang Sua,Bukit Batok West,7
Safti,Alexandra Hill,1
Depot Road,Woodgrove,5
Raffles Place,Commonwealth,5
Pasir Ris West,Tyersall,11
Marymount,Chin Bee,4
Goodwood Park,Siglap,1
Yunnan,Bayfront Subzone,21
Phillip,Katong,13
Yuhua West,Gul Basin,18
Telok Blangah Way,Yunnan,7
Lorong Chuan,Tampines West,12
Hong Kah,Potong Pasir,10
Bugis,Kampong Tiong Bahru,15
Tukang,Trafalgar,8
The Wharves,Yio Chu Kang East,1
Margaret Drive,Benoi Sector,2
Sengkang Town Centre,Institution Hill,4
Teban Gardens,Northland,8
Loyang West,Kangkar,6
Senoko South,Pandan,11
Gul Circle,Wenya,9
Tai Seng,Jurong River,5
Institution Hill,Clifford Pier,3
Yew Tee,Serangoon Central,19
Mountbatten,Nee Soon,15
Jurong West Central,Yio Chu Kang East,6
Hougang East,Depot Road,1
Farrer Court,Jurong West Central,8
Woodlands South,Kampong Glam,10
Tiong Bahru,Cheng San,5
Yio Chu Kang North,Cheng San,7
Upper Paya Lebar,Yio Chu Kang East,2
Nee Soon,Nassim,3
Mei Chin,Yishun South,10
Serangoon Central,Sembawang Hills,14
Oxley,Yishun West,5
Katong,Selegie,1
Bayshore,Loyang West,8
Joo Seng,Seletar Aerospace Park,10
Punggol Town Centre,Central Subzone,2
National University of S'pore,East Coast,7
Keat Hong,Pasir Ris Park,3
City Terminals,Northland,9
Holland Road,Flora Drive,2
Tengeh,Pasir Ris Drive,5
Newton Circus,Pasir Ris West,4
Leonie Hill,National University of S'pore,6
Flora Drive,Trafalgar,6
Pasir Panjang 2,Farrer Park,12
Midview,Kallang Way,14
Bukit Merah,Fajar,5
Swiss Club,Sengkang West,1
Raffles Place,Holland Drive,19
Seletar Hills,Cairnhill,16
Pandan,Marymount,4
Defu Industrial Park,Telok Blangah Way,2
Kim Keat,Woodlands East,8
Bukit Merah,Clementi West,11
Penjuru Crescent,City Terminals,8
Kampong Ubi,Nature Reserve,10
Fernvale,Bras Basah,16
Pasir Ris West,Sembawang North,9
Jurong Port,Woodlands East,8
Jurong River,Hong Kah North,13
Compassvale,Braddell,10
Port,Kent Ridge,12
One Tree Hill,Nee Soon,1
Mandai East,Bencoolen,3
Seletar,Crawford,2
Kovan,Lim Chu Kang,4
Serangoon North Ind Estate,Hougang Central,8
Telok Blangah Way,Leedon Park,1
Yishun South,Loyang West,8
West Coast,Chinatown,4
Leonie Hill,One North,5
Ulu Pandan,Teban Gardens,11
Farrer Court,Townsville,2
Farrer Park,Paya Lebar North,6
Lakeside,Faber,9
Mandai East,Yio Chu Kang East,6
Turf Club,Yuhua East,3
Lakeside,Greenwood Park,1
Tampines West,Jurong Port,2
Serangoon North,Boon Keng,3
Kranji,Bukit Batok East,2
Institution Hill,Kangkar,1
Dunearn,Simei,3
Bukit Batok Central,Punggol Town Centre,1
Plab,Bukit Batok Central,2
Orange Grove,Kebun Bahru,7
Gali Batu,Tuas Bay,2
Siglap,Phillip,4
Serangoon North,Bras Basah,4
Macpherson,Greenwood Park,2
Margaret Drive,Mandai East,3
Crawford,Commonwealth,3
Singapore Polytechnic,Tagore,2
Kian Teck,Braddell,2
Tanglin Halt,Boat Quay,3
Boat Quay,Kim Keat,3
Mandai East,Boon Teck,1
Matilda,Hong Kah,9
Tuas Promenade,Monk's Hill,1
Boulevard,Kian Teck,8
Siglap,Selegie,2
Crawford,Holland Drive,6
Fernvale,Boon Keng,6
Leedon Park,Yio Chu Kang East,3
Tagore,Flora Drive,2
Marine Parade,Gali Batu,8
Kranji,Sembawang Springs,1
Changi West,Nature Reserve,1
Paya Lebar East,Sembawang North,1
Gombak,Sembawang Hills,1
Victoria,Marina East,2
Frankel,Nee Soon,5
Mount Pleasant,Defu Industrial Park,2
Straits View,Boon Lay Place,3
Depot Road,Kampong Tiong Bahru,4
Pandan,Woodlands West,4
Northshore,Yio Chu Kang,1
Wenya,Boat Quay,1
East Coast,Bukit Batok East,1
Gul Basin,Hong Kah North,10
Bayfront Subzone,Joo Koon,3
Lower Seletar,Dairy Farm,6
Kim Keat,Ang Mo Kio Town Centre,4
Townsville,Nature Reserve,2
Pasir Ris Central,Shangri-La,8
Tiong Bahru,Saujana,3
Samulun,Pearl's Hill,2
Bayshore,Khatib,6
Mei Chin,Mount Pleasant,5
Admiralty,Bukit Batok West,3
Shangri-La,Teban Gardens,5
Sunset Way,Serangoon North,2
Tyersall,Northshore,1
Kim Keat,Pei Chun,1
Telok Blangah Rise,Pang Sua,1
Telok Blangah Drive,Siglap,2
Sembawang Springs,Pasir Ris Park,2
Newton Circus,Redhill,5
Bedok North,Tukang,1
Clementi Woods,Central Subzone,1
Khatib,East Coast,2
Yio Chu Kang West,Turf Club,3
Hong Kah North,Oxley,2
Jurong Island and Bukom,Sembawang Hills,1
Tampines West,Tanglin Halt,5
Pasir Ris Park,Senja,2
Istana Negara,Woodlands West,2
Khatib,Ghim Moh,3
Istana Negara,Queensway,1
Selegie,Lorong Halus,1
Sembawang East,Northshore,1
Woodlands West,Istana Negara,3
Tuas Promenade,Marymount,2
Airport Road,Yishun West,2
Penjuru Crescent,Bedok Reservoir,1
Clifford Pier,Joo Seng,3
Coronation Road,Kampong Glam,1
Bangkit,Braddell,4
Joo Seng,Sembawang Straits,2
Tanglin,Bayfront Subzone,3
Senoko West,Bukit Merah,1
Clementi Woods,Mountbatten,4
Aljunied,Maxwell,5
Sunset Way,Fort Canning,2
Pasir Ris Park,Pang Sua,1
Faber,Punggol Field,1
Tiong Bahru Station,Geylang Bahru,4
Mount Emily,Lorong Halus North,1
Pulau Punggol Timor,Guilin,2
Gul Basin,Fernvale,2
Maxwell,Tyersall,1
Paterson,Hougang West,1
Malcolm,Admiralty,1
Reservoir View,Pasir Ris Central,4
Lim Chu Kang,Tuas Bay,2
Anson,Khatib,4
Bukit Batok East,Marina South,2
Goodwood Park,City Terminals,1
The Wharves,Bencoolen,2
Yishun Central,Port,1
Maxwell,Commonwealth,1
Kallang Bahru,Gul Circle,1
Airport Road,Turf Club,1
Telok Blangah Rise,Senja,1
Cheng San,Oxley,1
Nee Soon,Serangoon North,3
Dairy Farm,Loyang West,1
Pei Chun,Guilin,2
Boulevard,Pioneer Sector,2
Brickworks,Sentosa,1
Tuas North,Crawford,2
Kranji,Brickworks,1
Springleaf,Mei Chin,1
Seletar Aerospace Park,Tiong Bahru Station,1
Jurong Port,Pei Chun,1
Newton Circus,Alexandra Hill,6
Boon Keng,Pasir Ris West,9
Pei Chun,Bendemeer,35
Yio Chu Kang,Lower Seletar,33
Sengkang Town Centre,City Terminals,16
Sembawang North,North Coast,223
Marine Parade,Farrer Park,24
Sembawang Central,The Wharves,31
Bukit Batok Central,Matilda,10
Ulu Pandan,Ghim Moh,76
Bukit Merah,Mountbatten,13
Kampong Ubi,City Hall,71
Katong,Serangoon Central,30
Tiong Bahru Station,Tanjong Pagar,33
Jurong Gateway,Farrer Park,50
Bedok South,Simei,296
Bedok South,North Coast,53
Chin Bee,Yuhua East,26
Bukit Batok West,Teban Gardens,17
Nassim,Guilin,19
Cairnhill,Choa Chu Kang Central,6
Woodlands East,Dhoby Ghaut,148
Redhill,Alexandra Hill,62
Fort Canning,Moulmein,56
Bencoolen,Bishan East,48
Fernvale,Senoko West,15
Bendemeer,Xilin,31
Geylang Bahru,Bishan East,29
Sengkang Town Centre,Siglap,11
Woodlands South,Anson,5
Pasir Ris Drive,Hougang West,44
Bayfront Subzone,Peng Siang,14
Kian Teck,Gul Basin,79
Paya Lebar East,One North,5
Fort Canning,Woodlands South,21
Choa Chu Kang North,Bukit Merah,10
Senoko South,Woodlands Regional Centre,120
Lavender,Kallang Bahru,76
Bedok Reservoir,Frankel,68
Trafalgar,National University of S'pore,24
Pasir Ris Wafer Fab Park,Pasir Ris Central,29
Bedok North,Joo Seng,77
Yunnan,Senoko South,33
Tiong Bahru Station,Taman Jurong,45
Northland,Mandai West,2
Sembawang North,Simei,14
Western Water Catchment,Senja,23
Phillip,Kampong Bugis,8
Woodleigh,Central Subzone,5
Raffles Place,Tanglin,9
Marina Centre,Teban Gardens,11
Kaki Bukit,China Square,16
Lorong Chuan,Marina Centre,32
Yishun East,Bedok North,50
Woodlands Regional Centre,Aljunied,67
Woodlands South,Balestier,33
Commonwealth,North Coast,20
Khatib,Braddell,16
Straits View,Bedok North,1
Holland Drive,Chong Boon,3
Singapore General Hospital,Kampong Java,46
Compassvale,Jurong River,3
Potong Pasir,Farrer Court,4
Bangkit,Jurong River,9
Yio Chu Kang West,Farrer Park,34
Serangoon Central,Punggol Field,141
Seletar Aerospace Park,Pulau Punggol Timor,48
Loyang West,Compassvale,5
Yishun West,Clementi West,13
Kallang Way,Marymount,13
Hougang West,Yio Chu Kang East,15
Punggol Town Centre,Seletar,11
One Tree Hill,Cairnhill,6
Bedok Reservoir,Fernvale,27
Sembawang Central,One North,20
Tanjong Rhu,Kovan,30
Toa Payoh West,Joo Seng,19
Boon Keng,Tampines North,7
Pasir Ris West,National University of S'pore,13
Ang Mo Kio Town Centre,Nassim,8
One North,Woodlands West,11
Lim Chu Kang,Kim Keat,4
Townsville,City Hall,60
Bencoolen,Teban Gardens,11
Pearl's Hill,Woodlands South,30
Senja,Bangkit,55
Lorong Ah Soo,Clarke Quay,29
Joo Koon,Braddell,2
Teban Gardens,Lim Chu Kang,4
Northland,Bayfront Subzone,34
Reservoir View,Sentosa,9
Tyersall,Swiss Club,58
Loyang West,Changi Point,57
Yunnan,Woodlands West,28
Senoko West,Choa Chu Kang North,17
Bedok South,Benoi Sector,9
Tampines East,Pang Sua,10
Bukit Batok Central,Reservoir View,9
Serangoon Garden,Braddell,57
Mountbatten,Reservoir View,2
Trafalgar,One North,17
Lorong 8 Toa Payoh,Senja,2
Greenwood Park,Lim Chu Kang,7
Pasir Ris West,Lower Seletar,14
Yishun West,Bukit Ho Swee,22
Toa Payoh Central,Tai Seng,56
Pasir Ris Wafer Fab Park,Paterson,1
Tuas Bay,Aljunied,12
Tampines East,Senja,18
Bukit Ho Swee,Bayshore,9
One Tree Hill,Lorong Chuan,4
Siglap,Serangoon Central,13
Crawford,Institution Hill,5
Yishun East,Raffles Place,33
Woodlands South,Yishun Central,15
Matilda,Kranji,21
Lorong Chuan,Maritime Square,18
Anak Bukit,Bendemeer,36
Tengeh,Tuas North,24
Kim Keat,Boon Teck,3
Mackenzie,Guilin,13
Victoria,Kim Keat,6
Fajar,Dairy Farm,21
Changi Airport,Clarke Quay,13
Seletar Hills,Mackenzie,6
Yio Chu Kang,National University of S'pore,9
Mountbatten,Coronation Road,15
Singapore General Hospital,Chatsworth,31
Yishun West,Fajar,26
Fort Canning,Dover,33
Yuhua West,International Business Park,30
One North,Queensway,23
Toh Tuck,Kovan,3
Anak Bukit,Yuhua West,83
Somerset,Little India,45
Frankel,Cairnhill,25
Pei Chun,Yuhua West,6
Ang Mo Kio Town Centre,Fort Canning,14
Bendemeer,Kembangan,49
Bukit Batok South,Tanglin Halt,11
Joo Seng,Boulevard,48
Raffles Place,Kallang Way,11
Seletar Hills,Gali Batu,4
Anchorvale,Tanjong Pagar,9
Punggol Field,Bukit Batok West,4
Senja,Depot Road,2
Potong Pasir,Choa Chu Kang Central,7
Sembawang Central,National University of S'pore,20
Hillview,Kranji,13
Kampong Ubi,Bangkit,28
Hougang West,Bencoolen,44
Phillip,Midview,4
Kovan,Sembawang North,9
Commonwealth,Simei,11
Frankel,Coronation Road,20
Sembawang Straits,Greenwood Park,4
Fernvale,Reservoir View,6
Yishun Central,Tampines West,7
Oxley,Aljunied,12
Bukit Batok Central,Ulu Pandan,9
Senja,Geylang East,28
Rochor Canal,North Coast,23
Coronation Road,Malcolm,7
Senoko West,Kebun Bahru,5
Hougang West,Boon Teck,20
Peng Siang,Pearl's Hill,13
Pasir Ris West,Institution Hill,8
Seletar Hills,Changi Airport,18
Choa Chu Kang North,Hong Kah,77
Tukang,Khatib,6
Sennett,Woodgrove,4
Changi West,City Hall,14
Margaret Drive,Woodlands East,33
Fernvale,Coronation Road,6
Margaret Drive,Pei Chun,4
Telok Blangah Drive,Yishun South,3
Sungei Road,Telok Blangah Drive,2
Woodlands West,Yishun East,23
Alexandra Hill,Geylang East,62
Kallang Bahru,Sengkang Town Centre,32
Senoko West,Dunearn,3
Sembawang Hills,Sembawang Central,12
Clarke Quay,Geylang Bahru,9
Ang Mo Kio Town Centre,Serangoon North,31
Kampong Ubi,Depot Road,8
Woodlands Regional Centre,Paya Lebar North,9
Jelebu,Clarke Quay,17
Tampines West,Fort Canning,36
Woodlands South,Pasir Ris Wafer Fab Park,9
Dunearn,Pei Chun,3
Toh Guan,Bukit Batok West,46
Tampines West,Gombak,4
Tengah,Taman Jurong,6
Siglap,Bukit Batok Central,1
Loyang East,Potong Pasir,3
Tuas View Extension,Phillip,1
Tanglin Halt,Kangkar,3
Toa Payoh Central,Saujana,17
Tyersall,Yunnan,26
Clementi West,Ghim Moh,18
Senoko West,Kampong Java,10
Singapore General Hospital,Kebun Bahru,11
Bukit Batok East,Somerset,12
Jurong Port,Choa Chu Kang Central,6
Townsville,Geylang East,36
Senja,City Hall,17
Cairnhill,Choa Chu Kang North,4
Tanglin,Tanjong Pagar,1
Sembawang North,Orange Grove,3
Cecil,Boon Lay Place,3
Gali Batu,Woodlands South,16
Margaret Drive,Bishan East,15
Tyersall,Kampong Ubi,18
Istana Negara,Marine Parade,12
Rochor Canal,Simei,25
Lower Seletar,Clementi North,10
North Coast,Robertson Quay,14
Yio Chu Kang,One North,18
Sunset Way,Trafalgar,5
Toh Tuck,Yew Tee,21
Boat Quay,Pearl's Hill,2
Yishun East,Paya Lebar North,10
Paya Lebar East,The Wharves,1
Woodlands Regional Centre,Raffles Place,27
Sembawang East,Kampong Ubi,3
Redhill,Upper Paya Lebar,2
Mount Emily,Tagore,1
Mountbatten,Senoko West,8
Yunnan,Queensway,3
Anak Bukit,Henderson Hill,12
Mei Chin,Tanjong Rhu,8
Matilda,Chatsworth,11
Oxley,Raffles Place,3
Tanglin,Woodlands West,4
Pasir Panjang 2,Tiong Bahru Station,6
Kampong Java,Pasir Ris Central,13
Joo Seng,Woodgrove,21
Kangkar,Cecil,6
Nee Soon,Flora Drive,4
Tuas Promenade,Marine Parade,10
Singapore General Hospital,Choa Chu Kang North,19
Kallang Bahru,Telok Blangah Rise,5
Dunearn,Woodlands East,6
City Hall,Clementi Woods,20
Kim Keat,Bencoolen,6
Kent Ridge,Peng Siang,6
Swiss Club,Senoko South,4
Marina East,Paya Lebar East,2
Margaret Drive,Ang Mo Kio Town Centre,5
Serangoon North,Coronation Road,2
Tanglin,Senoko South,2
Woodleigh,Mountbatten,10
Somerset,Sunset Way,4
