subzone,cases,normalize by sum,normalize by max,lat,lon
Keat Hong,0,0,0,1.378686,103.748947
Kebun Bahru,14,0.020114943,0.133333333,1.3743012,103.8402669
Kembangan,3,0.004310345,0.028571429,1.320982,103.912842
Kent Ridge,0,0,0,1.293383,103.784394
Khatib,47,0.067528736,0.447619048,1.4173658,103.8329446
Kian Teck,0,0,0,1.3305916,103.6934318
Kim Keat,0,0,0,1.3308209,103.8550567
Kovan,0,0,0,1.3600696,103.8853633
Kranji,0,0,0,1.4252979,103.7621389
Lakeside,0,0,0,1.3442374,103.7207253
Lavender,0,0,0,1.3072265,103.862951
Leedon Park,0,0,0,1.3163348,103.7960521
Leonie Hill,0,0,0,1.296791,103.833203
Lim Chu Kang,0,0,0,1.4304941,103.7173325
Little India,0,0,0,1.3063483,103.8496785
Liu Fang,0,0,0,1.3141514,103.6981553
Lorong 8 Toa Payoh,0,0,0,1.339772,103.8570052
Lorong Ah Soo,0,0,0,1.3514242,103.8848967
Lorong Chuan,2,0.002873563,0.019047619,1.3516608,103.8629139
Lorong Halus,0,0,0,1.3864441,103.9232692
Lorong Halus North,0,0,0,1.3864441,103.9232692
Lower Seletar,0,0,0,1.3989209,103.8336524
Loyang East,0,0,0,1.3737035,103.9745443
Loyang West,0,0,0,1.3737035,103.9745443
Mackenzie,0,0,0,1.3058375,103.8481243
Macpherson,0,0,0,1.326745,103.889867
Malcolm,0,0,0,1.3236673,103.8311461
Mandai East,0,0,0,1.4260074,103.8241046
Mandai Estate,0,0,0,1.407043,103.7586567
Mandai West,0,0,0,1.4260074,103.8241046
Margaret Drive,0,0,0,1.2968341,103.8084694
Marina Centre,0,0,0,1.2785587,103.8656807
Marina East,0,0,0,1.2912788,103.8709039
Marina East (MP),0,0,0,1.2880783,103.8637117
Marina South,0,0,0,1.279294,103.8701686
Marine Parade,0,0,0,1.3019687,103.8970821
Maritime Square,0,0,0,1.2642124,103.8191268
Marymount,0,0,0,1.349078,103.839492
Matilda,0,0,0,1.4051141,103.8968818
Maxwell,0,0,0,1.2763215,103.8514872
Mei Chin,0,0,0,1.2933829,103.802453
Midview,0,0,0,1.3398425,103.7568922
Monk's Hill,0,0,0,1.3096113,103.8403681
Moulmein,0,0,0,1.3190874,103.8485005
Mount Emily,0,0,0,1.3038889,103.8483333
Mount Pleasant,0,0,0,1.3328291,103.8324641
Mountbatten,7,0.010057471,0.066666667,1.306306,103.882531
Nassim,0,0,0,1.311655,103.821796
National University of S'pore,0,0,0,1.2966426,103.7742052
