subzone,cases,normalize by sum,normalize by max,population,pop_density,lon,lat,area
Fort Canning,0,0,0,160,29.89915322,103.8457541,1.293751467,0.386952323
Frankel,105,0.150862069,1,33570,52891.96451,103.9197294,1.31485263,4.317917117
Gali Batu,0,0,0,130,172.8038175,103.763214,1.40036602,5.211382673
Geylang Bahru,84,0.120689655,0.8,12870,12157.73715,103.8709772,1.321754596,0.739059692
Geylang East,20,0.028735632,0.19047619,33380,27040.82883,103.897793,1.317339908,2.59155734
Ghim Moh,0,0,0,11900,3407.736687,103.7872984,1.311734894,0.487393182
Gombak,0,0,0,9820,8939.187933,103.7576842,1.36930037,2.471041794
Goodwood Park,0,0,0,910,159.5607485,103.8338578,1.313146988,0.352942389
Greenwood Park,0,0,0,70,34.99219683,103.784856,1.44662069,1.28756219
Guilin,0,0,0,13130,1857.421006,103.7536522,1.356597274,1.09034073
Gul Basin,0,0,0,20,17.15821008,103.6735852,1.302097645,1.778035337
Gul Circle,0,0,0,30,64.82609269,103.6674949,1.31533905,3.276142616
Henderson Hill,0,0,0,12870,23093.12814,103.8225928,1.286527565,0.598302958
Hillcrest,0,0,0,8810,6026.638147,103.8082258,1.332542681,2.649253285
Hillview,0,0,0,18220,8444.690901,103.7636073,1.356205067,2.000445995
Holland Drive,0,0,0,14230,5545.713138,103.7950563,1.308363582,0.461766362
Holland Road,0,0,0,10280,6892.465213,103.7831661,1.327545147,3.409322179
Hong Kah,0,0,0,56870,116686.9724,103.720068,1.34940949,1.802157052
Hong Kah North,0,0,0,28340,8973.529598,103.746883,1.362751294,0.863351217
Hougang Central,17,0.024425287,0.161904762,4830,2676.244495,103.8913092,1.369332851,0.443876437
Hougang East,0,0,0,21940,78874.9768,103.8981762,1.375360858,0.846759217
Hougang West,17,0.024425287,0.161904762,50120,39447.63874,103.8845954,1.374970573,1.335335745
Institution Hill,0,0,0,3380,1203.065167,103.8373669,1.293629478,0.39445921
International Business Park,0,0,0,10,6.342519115,103.7483292,1.326765692,0.487372316
Istana Negara,0,0,0,40,16.18750444,103.8449256,1.305047186,0.546110069
Jelebu,0,0,0,33470,30705.64424,103.7665466,1.375280396,0.915636694
Joo Koon,0,0,0,40,31.06646056,103.6800199,1.32642489,2.360736983
Joo Seng,0,0,0,6720,17035.982,103.8822546,1.336677721,1.062285978
Jurong Gateway,0,0,0,20,54.01559758,103.7427347,1.332834649,0.557308647
Jurong Island and Bukom,0,0,0,0,0,103.7163988,1.256789215,32.51981843
Jurong Port,0,0,0,10,2.577941917,103.7193063,1.305988973,2.476765267
Jurong River,0,0,0,10,85.54849469,103.728686,1.319310405,2.573384318
Jurong West Central,2,0.002873563,0.019047619,68200,139928.0961,103.7021938,1.341001172,1.411337961
Kaki Bukit,10,0.014367816,0.095238095,40820,128194.044,103.9078591,1.335667118,2.833831708
Kallang Bahru,2,0.002873563,0.019047619,30,90.62636275,103.8653525,1.314549381,0.843550181
Kallang Way,0,0,0,40,20.15601673,103.8750828,1.325756822,0.967863151
Kampong Bugis,16,0.022988506,0.152380952,890,813.577212,103.8706746,1.308255144,0.745021061
Kampong Glam,16,0.022988506,0.152380952,170,167.9327013,103.8596168,1.30239568,0.172161438
Kampong Java,0,0,0,11260,7474.731187,103.8510099,1.313064411,1.027235375
Kampong Tiong Bahru,0,0,0,10460,3691.11545,103.8280546,1.278493679,0.367093782
Kampong Ubi,0,0,0,13210,127341.79,103.8973623,1.330368526,1.887183009
Kangkar,0,0,0,26080,27464.73578,103.8980704,1.370960533,1.012310281
Katong,15,0.021551724,0.142857143,9620,10567.31375,103.902201,1.307631725,1.084206006
Keat Hong,0,0,0,15660,42659.39868,103.7464725,1.375269733,1.1493752
Kebun Bahru,14,0.020114943,0.133333333,23910,62584.15013,103.83926,1.373543211,1.051501992
Kembangan,3,0.004310345,0.028571429,38440,23202.9581,103.9161188,1.325018063,2.398829821
Kent Ridge,0,0,0,1080,775.1150179,103.7927282,1.285940959,1.835664954
Khatib,47,0.067528736,0.447619048,10850,6585.227044,103.8290464,1.418189678,1.43990569
Kian Teck,0,0,0,50,22.52275195,103.6945553,1.334099885,2.108328036
Kim Keat,0,0,0,8610,51144.30026,103.8585462,1.331670021,0.371562101
Kovan,0,0,0,25640,46248.54219,103.8821032,1.361772657,1.958071648
Kranji,0,0,0,20,16.57474471,103.7597566,1.433614317,3.669864624
Lakeside,0,0,0,1010,313.7456651,103.7335759,1.334198453,3.123069353
Lavender,0,0,0,10320,5972.008609,103.859361,1.31140824,0.761572749
Leedon Park,0,0,0,6260,6747.813079,103.7970707,1.316065213,2.059464442
Leonie Hill,0,0,0,2450,4631.946303,103.8343913,1.298021965,0.370263422
Lim Chu Kang,0,0,0,90,89.92939823,103.7183051,1.431187478,17.5802577
Little India,0,0,0,3850,10922.59001,103.8539692,1.306935959,0.279648198
Liu Fang,0,0,0,10,6.566458517,103.7081117,1.318587972,2.350210137
Lorong 8 Toa Payoh,0,0,0,8220,18331.70736,103.8571668,1.340612769,0.441777828
Lorong Ah Soo,0,0,0,34180,24218.15394,103.8848186,1.358265857,1.522890912
Lorong Chuan,2,0.002873563,0.019047619,8390,14219.03168,103.8641662,1.34910494,1.185850241
Lorong Halus,0,0,0,0,0,103.902939,1.371106755,1.34001168
Lorong Halus North,0,0,0,0,0,103.9111212,1.380891582,0.929364809
Lower Seletar,0,0,0,2870,4272.702386,103.8474348,1.410917374,8.494520361
Loyang East,0,0,0,2190,1308.55599,103.9733061,1.367857725,0.974777702
Loyang West,0,0,0,200,130.5548153,103.971146,1.376739153,2.125053937
Mackenzie,0,0,0,110,141.0432562,103.8485205,1.306301419,0.055949789
Macpherson,0,0,0,28630,12913.91931,103.8849887,1.327210654,1.269524838
Malcolm,0,0,0,2630,754.914375,103.8337071,1.323139258,1.327485333
Mandai East,0,0,0,0,0,103.8109106,1.428844724,7.271139272
Mandai Estate,0,0,0,2120,703.8987771,103.8249863,1.42649469,0.143837727
Mandai West,0,0,0,0,0,103.7885211,1.418237629,4.408535417
Margaret Drive,0,0,0,10520,3283.905598,103.8087308,1.299382774,1.031423997
